transicion,par_ondas,id_hogar,ola,zona,region,estrato,t_hogar,t_personas,ordeninforma,tipo_vivienda,material_pisos,material_paredes,sp_energia,sp_estrato,sp_gasnatural,sp_acueducto,sp_alcantarillado,sp_telefono,sp_recoleccion_basura,eliminan_basura,t_hogares,uc_fabricas,uc_basureros,uc_plaza_mercado,uc_terminal_bus,uc_aeropuerto,uc_cagno_agua,uc_planta_tratamiento,uc_trans_hidrocarburo,uc_linea_alta_tension,inundacion,avalancha,creciente,hundimiento,terremoto,t_cuartos_hogar,t_cuartos_dormir,servicio_sanitario,uso_sanitario,obtencion_agua,sitio_alimentos,cocina_es,energia_cocinan,tenencia_vivienda,recursos_propios,credito_financiera,prestamo_familiar,otra_financiacion,cambio_vivienda,n_neveras,n_lavadoras,n_secadoras,n_licuadoras,n_hornos,n_microondas,n_calentadores,n_duchas,n_aire_acondicionado,n_televisores,n_radios,n_equipos_sonido,n_equipos_video,n_television_cable,n_internet,n_computadores,n_bicicletas,motocicletas,automoviles,lotes,casas,oficina,transporte,semovientes,familias_accion,jovenes_accion,sena,red_juntos,icbf,sub_desempleo,caja_subsprest,caja_saludrec,ayu_emergencias,prg_adultomayor,ayu_desplazados,ayu_fam_colom,ayu_fam_ext,ayu_alimentos,ayu_orgintern,ayu_ong,ayu_religiosas,eay_fam_colom,eay_fam_exte,eay_alimentos,eay_otras,tienen_deudas,fechai_ano_1,period_cuota_1,act_dinero,act_fondos,act_cesantias,act_bonos_gob,act_bonos_emp,act_inversiones,act_roscas,act_dineroprestado,act_segvida,act_segveh,act_segviv,act_segmaq,act_herencias,act_polizas,act_vtainm,act_vtaneg,fhog,fexhog,riqueza_pca,tercil2010,zona_fuente,tit_baldios,prg_tierras,agro_ingresos,act_segcosechas,llave_ID_lb,orden,nac_ano,edad,edad_meses,grado_educ,onda,zona_2010,RegionLb,consecutivo,hogar,otra_financiacion_cual,incendio,vendaval,sisben_hogar,n_celular,equip_oficina,equip_maq,ayu_desastres_nat,oayuda_cual,ayu_otra,act_boninv,act_prestamo,seguro_hogar,act_ocasional,tienen_creditos,rechazo_cred_cual,retpag_pub,retpag_salud,retpag_educ,retpag_arren,retpag_almac,retpag_compra,retpag_tend,retpag_efinan,proviene_2010,fhog_2013,fexhog_2013,fhog_2010,fexhog_2010,tercil2013,religion_No,religion_SI,religion_Si,religion1_2013_Cat�lica,religion1_2013_Evang�lica y Pentecostal,religion1_2013_Iglesia de los Santos de los Ultimos D�as - mormones,religion1_2013_Judio,religion1_2013_Protestante tradicional o protestante no evang�lico,religion1_2013_Religiones orientales no cristianas,religion1_2013_Religiones tradicionales,religion1_2013_Testigos de Jehov�,religion2_2013_Cat�lica,religion2_2013_Evang�lica y Pentecostal,religion2_2013_Iglesia de los Santos de los Ultimos D�as - mormones,religion2_2013_Judio,religion2_2013_Ninguna,religion2_2013_Protestante tradicional o protestante no evang�lico,religion2_2013_Religiones orientales no cristianas,religion2_2013_Religiones tradicionales,religion2_2013_Testigos de Jehov�,hacinamiento,hacinamiento_critico,indice_activos,tasa_dependencia_proxy,privacion_vivienda,priv_educacion,priv_ninez,priv_salud,priv_vivienda,ipm_sintetico,pobre_ipm
0,2010_2013,111001,1,1,3.0,2.0,1.0,3,1.0,0,2,2,3,2.0,3,3,3,3,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,5,2,1,1.0,1,1.0,1.0,2.0,4,3.0,3.0,1.0,1.0,1.0,1,1,0.0,1,1,0,0,0,0,2,0,1,2,1,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,3,1,1,1,1.0,1.0,1.0,1.0,3.0,2010.0,6.0,1,1,3,0.0,0.0,0.0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1451.944061358814,0.3986010849475861,1.5391724,3.0,urbano,1.0,1.0,1.0,1.0,16310651.0,1.0,1964.0,46.0,5.0,5.0,2010,0.0,4.0,164166.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32083320617676,0.6969703477220278,19.32083333333334,0.7079565776153934,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,12.0,0.06521739130434782,0,0,0,0,0,0.0,0
0,2010_2013,111003,1,1,3.0,2.0,1.0,6,1.0,1,2,2,3,2.0,3,3,3,1,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,5,4,1,1.0,1,1.0,1.0,2.0,4,3.0,1.0,1.0,1.0,1.0,1,1,0.0,1,1,0,0,1,0,2,1,0,0,1,0,0,2,0,0,0,0,0.0,0.0,0.0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,3.0,2009.0,6.0,1,1,1,0.0,0.0,0.0,3,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1451.944061358814,0.3986010849475861,0.91157764,2.0,urbano,1.0,1.0,1.0,1.0,16310651.0,1.0,1964.0,46.0,5.0,5.0,2010,0.0,4.0,164166.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32083320617676,0.6969703477220278,19.32083333333334,0.7079565776153934,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,13.0,0.13043478260869565,0,0,0,0,0,0.0,0
2,2010_2013,111004,1,1,3.0,2.0,2.0,4,1.0,0,3,2,3,2.0,3,3,3,3,3,3,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,2,2,1,0.0,1,1.0,0.0,2.0,0,3.0,1.0,1.0,1.0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,2.0,2009.0,6.0,3,1,3,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1451.944061358814,0.4253978133201599,-1.6782908,1.0,urbano,1.0,1.0,1.0,1.0,16310651.0,1.0,1964.0,46.0,5.0,5.0,2010,0.0,4.0,164166.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32083320617676,0.6969703477220278,19.32083333333334,0.7079565776153934,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,6.0,0.08695652173913043,0,0,0,0,0,0.0,0
0,2010_2013,111006,1,1,3.0,2.0,1.0,3,1.0,0,2,2,3,2.0,1,3,3,3,3,3,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,3,1,1,1.0,1,1.0,1.0,3.0,0,3.0,1.0,1.0,1.0,1.0,1,1,0.0,1,0,1,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,3,1,1,1,1.0,1.0,1.0,1.0,2.0,2009.0,6.0,1,1,1,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1451.944061358814,0.3986010849475861,0.97637725,2.0,urbano,1.0,1.0,1.0,1.0,16310651.0,1.0,1964.0,46.0,5.0,5.0,2010,0.0,4.0,164166.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32083320617676,0.6969703477220278,19.32083333333334,0.7079565776153934,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,12.0,0.06521739130434782,0,0,0,0,0,0.0,0
1,2010_2013,111008,1,1,3.0,2.0,1.0,3,2.0,0,3,2,3,2.0,3,3,3,1,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,2,2,1,1.0,1,1.0,1.0,2.0,0,3.0,1.0,1.0,1.0,0.0,1,0,0.0,1,1,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0.0,0.0,0.0,3,0.0,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,3.0,2009.0,6.0,1,1,1,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,483.9813182866214,0.521865963935852,-0.73078465,1.0,urbano,1.0,1.0,1.0,1.0,16310651.0,1.0,1964.0,46.0,5.0,5.0,2010,0.0,4.0,164166.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32083320617676,0.6969703477220278,19.32083333333334,0.7079565776153934,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,10.0,0.06521739130434782,0,0,0,0,0,0.0,0
0,2010_2013,111009,1,1,3.0,2.0,1.0,3,1.0,0,2,2,3,2.0,3,3,3,3,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,2,1,1,1.0,1,1.0,1.0,2.0,4,3.0,1.0,1.0,1.0,0.0,1,1,0.0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,3,0.0,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,3.0,2009.0,9.0,1,1,1,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,483.9813182866214,0.3986010849475861,0.76016289,2.0,urbano,1.0,1.0,1.0,1.0,16310651.0,1.0,1964.0,46.0,5.0,5.0,2010,0.0,4.0,164166.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32083320617676,0.6969703477220278,19.32083333333334,0.7079565776153934,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,10.0,0.06521739130434782,0,0,0,0,0,0.0,0
2,2010_2013,111010,1,1,3.0,2.0,1.0,4,1.0,0,3,2,3,2.0,1,3,3,3,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1,1.0,1.0,3.0,0,3.0,1.0,1.0,1.0,1.0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3,0.0,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,2.0,2009.0,6.0,1,1,1,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,483.9813182866214,0.8507956266403198,-2.1346102,1.0,urbano,1.0,1.0,1.0,1.0,16310651.0,1.0,1964.0,46.0,5.0,5.0,2010,0.0,4.0,164166.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32083320617676,0.6969703477220278,19.32083333333334,0.7079565776153934,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1,5.0,0.08695652173913043,0,0,0,0,0,0.0,0
0,2010_2013,111011,1,1,3.0,2.0,1.0,4,2.0,0,2,2,3,2.0,3,3,3,3,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,4,3,1,1.0,1,1.0,1.0,2.0,0,3.0,1.0,1.0,1.0,0.0,1,0,0.0,1,1,0,0,1,0,3,1,1,2,1,1,1,1,0,0,0,0,0.0,0.0,0.0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,3.0,2008.0,6.0,1,1,3,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,483.9813182866214,1.043731927871704,2.1990573,3.0,urbano,1.0,1.0,1.0,1.0,16310651.0,1.0,1964.0,46.0,5.0,5.0,2010,0.0,4.0,164166.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32083320617676,0.6969703477220278,19.32083333333334,0.7079565776153934,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,17.0,0.08695652173913043,0,0,0,0,0,0.0,0
3,2010_2013,111012,1,1,3.0,2.0,1.0,2,1.0,3,3,2,3,2.0,1,3,3,1,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1,0.0,1.0,3.0,0,3.0,1.0,1.0,1.0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1.0,3.0,1.0,3.0,2009.0,6.0,1,1,1,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,483.9813182866214,1.043731927871704,-3.100493,1.0,urbano,1.0,1.0,1.0,1.0,16310651.0,1.0,1964.0,46.0,5.0,5.0,2010,0.0,4.0,164166.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32083320617676,0.6969703477220278,19.32083333333334,0.7079565776153934,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,5.0,0.043478260869565216,0,0,0,0,0,0.0,0
0,2010_2013,111014,1,1,3.0,2.0,2.0,5,1.0,0,2,2,3,2.0,3,3,3,1,3,3,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,2,2,1,0.0,1,1.0,0.0,2.0,0,3.0,1.0,1.0,1.0,0.0,0,1,0.0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0.0,0.0,0.0,3,0.0,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,3.0,2007.0,6.0,1,1,1,0.0,0.0,0.0,1,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1451.944061358814,0.4253978133201599,0.015449714,2.0,urbano,1.0,1.0,1.0,1.0,16310651.0,1.0,1964.0,46.0,5.0,5.0,2010,0.0,4.0,164166.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32083320617676,0.6969703477220278,19.32083333333334,0.7079565776153934,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,9.0,0.10869565217391304,0,0,0,0,0,0.0,0
